stop_id,stop_lon,stop_lat
832,-79.332253,43.681564
833,-79.291996,43.814703
834,-79.180524,43.788586
835,-79.406126,43.662181
836,-79.311293,43.77783
840,-79.355501,43.731982
841,-79.311799,43.747467
842,-79.447053,43.737002
843,-79.320622,43.820394
844,-79.300461,43.693011
845,-79.504234,43.779428
847,-79.510931,43.720552
848,-79.326374,43.75243
849,-79.430335,43.721136
850,-79.392503,43.714879
851,-79.421537,43.786246
852,-79.308173,43.77887
853,-79.294171,43.797157
854,-79.457156,43.655222
855,-79.577346,43.631124
856,-79.381567,43.727267
857,-79.533196,43.614317
858,-79.298179,43.67926
859,-79.481314,43.669394
860,-79.557141,43.616293
862,-79.393248,43.789946
863,-79.368367,43.651169
864,-79.415367,43.642626
865,-79.590127,43.733945
866,-79.283286,43.771331
867,-79.290016,43.787485
868,-79.304235,43.74203
869,-79.479255,43.658554
871,-79.439678,43.669816
872,-79.459703,43.75522
873,-79.145968,43.777575
874,-79.276398,43.781639
875,-79.393584,43.667095
876,-79.508136,43.684593
877,-79.422554,43.654475
878,-79.399176,43.783459
879,-79.135406,43.78995
880,-79.501435,43.6645
881,-79.3104,43.759303
882,-79.615107,43.747234
883,-79.457901,43.648781
884,-79.442466,43.735702
885,-79.513494,43.73919
886,-79.490268,43.678867
887,-79.389138,43.699932
888,-79.489207,43.676751
889,-79.336445,43.723081
890,-79.290466,43.709822
891,-79.573246,43.725707
892,-79.317494,43.829409
893,-79.574872,43.72821
894,-79.35716,43.799485
895,-79.231618,43.783526
897,-79.251064,43.71894
898,-79.219024,43.822964
899,-79.348388,43.801676
900,-79.466899,43.663483
901,-79.540697,43.683282
902,-79.455427,43.706808
903,-79.589772,43.73862
904,-79.467968,43.73656
905,-79.364412,43.774721
906,-79.296023,43.706312
907,-79.287699,43.728424
908,-79.414106,43.780191
909,-79.531677,43.694162
910,-79.400585,43.716726
911,-79.273762,43.822377
913,-79.352804,43.761898
914,-79.517122,43.754548
916,-79.565693,43.7377
917,-79.312134,43.705462
918,-79.373214,43.663382
919,-79.379136,43.797161
920,-79.378945,43.720431
921,-79.340618,43.727486
922,-79.389352,43.688534
923,-79.335379,43.804215
924,-79.255604,43.753732
925,-79.510597,43.729646
927,-79.358022,43.811939
928,-79.491492,43.724669
929,-79.440227,43.650681
930,-79.478254,43.708825
931,-79.300106,43.727717
932,-79.501631,43.624359
933,-79.415437,43.654987
934,-79.487694,43.658296
935,-79.409404,43.646157
936,-79.368339,43.790417
937,-79.342026,43.732636
938,-79.225946,43.812353
939,-79.340447,43.687502
940,-79.4006,43.698153
942,-79.324088,43.694898
943,-79.38211,43.710122
946,-79.435399,43.678178
947,-79.15811,43.80462
948,-79.523435,43.718465
950,-79.502119,43.745902
951,-79.518202,43.600828
952,-79.48605,43.665544
953,-79.241759,43.798356
954,-79.480244,43.717966
955,-79.408292,43.752127
956,-79.45434,43.683669
957,-79.378022,43.649249
958,-79.467028,43.752079
959,-79.417889,43.798341
960,-79.537978,43.593494
962,-79.520828,43.756605
963,-79.270029,43.832317
964,-79.292609,43.739791
966,-79.404613,43.733994
967,-79.613925,43.741627
968,-79.570684,43.662652
969,-79.334719,43.696688
970,-79.305943,43.668861
971,-79.454889,43.650763
972,-79.481627,43.757032
975,-79.532712,43.707885
976,-79.255569,43.722968
977,-79.41096,43.710222
978,-79.48124,43.663697
979,-79.469755,43.787469
980,-79.471373,43.710536
981,-79.492572,43.623181
982,-79.267746,43.732413
983,-79.45294,43.66531
984,-79.50836,43.735386
985,-79.239344,43.767658
986,-79.217599,43.810574
987,-79.465374,43.725167
988,-79.447135,43.696414
989,-79.261083,43.716705
990,-79.50104,43.764562
992,-79.540452,43.640146
993,-79.399008,43.750932
996,-79.585192,43.722298
997,-79.385106,43.767239
998,-79.442506,43.808738
999,-79.288704,43.783046
1000,-79.566907,43.683182
1001,-79.456814,43.770935
1002,-79.276865,43.838225
1003,-79.31401,43.741633
1004,-79.521309,43.761854
1005,-79.596357,43.746054
1006,-79.585698,43.678068
1007,-79.599639,43.752146
1008,-79.599829,43.695983
1009,-79.355165,43.672144
1010,-79.300386,43.683838
1011,-79.472291,43.638188
1012,-79.51697,43.762084
1013,-79.29616,43.801487
1014,-79.288525,43.691357
1015,-79.524466,43.755759
1016,-79.391602,43.712508
1017,-79.385852,43.805432
1018,-79.408924,43.65973
1019,-79.379085,43.652319
1020,-79.249277,43.713481
1021,-79.344198,43.707457
1022,-79.507664,43.602865
1023,-79.410254,43.70848
1024,-79.43732,43.782779
1025,-79.269367,43.688668
1026,-79.30805,43.674044
1028,-79.310823,43.68621
1029,-79.418035,43.727986
1030,-79.435552,43.710811
1031,-79.474388,43.69209
1032,-79.382163,43.738356
1033,-79.265057,43.827482
1034,-79.294947,43.798949
1035,-79.448603,43.772898
1036,-79.453031,43.706896
1037,-79.299971,43.718598
1038,-79.314192,43.754442
1039,-79.28868,43.803284
1040,-79.418685,43.703281
1041,-79.504228,43.705192
1042,-79.169994,43.781393
1044,-79.556423,43.634103
1045,-79.323734,43.683222
1046,-79.376834,43.672008
1047,-79.419594,43.66632
1048,-79.380413,43.787498
1049,-79.242767,43.812817
1050,-79.4127,43.769149
1051,-79.535377,43.67211
1053,-79.289136,43.803004
1054,-79.445833,43.734763
1058,-79.375798,43.79885
1059,-79.503758,43.779212
1060,-79.513239,43.651466
1061,-79.524086,43.756133
1062,-79.468294,43.775081
1063,-79.303632,43.89876
1065,-79.351821,43.684951
1066,-79.324383,43.814261
1067,-79.414775,43.641529
1068,-79.591362,43.736947
1069,-79.241423,43.756528
1070,-79.229715,43.727269
1071,-79.421898,43.652123
1072,-79.528238,43.615254
1073,-79.487147,43.705192
1074,-79.307267,43.800672
1075,-79.529638,43.735485
1076,-79.305535,43.704609
1077,-79.429129,43.716134
1078,-79.233987,43.792409
1079,-79.544474,43.761598
1080,-79.325151,43.792891
1081,-79.486211,43.653347
1082,-79.485359,43.740992
1083,-79.491796,43.75293
1084,-79.487335,43.706314
1085,-79.143788,43.789085
1086,-79.571002,43.671689
1087,-79.387868,43.665791
1088,-79.317593,43.826312
1089,-79.349482,43.788065
1090,-79.261559,43.716745
1091,-79.4377,43.782537
1092,-79.270917,43.767566
1093,-79.297487,43.762102
1094,-79.586467,43.72593
1095,-79.432586,43.669562
1096,-79.540889,43.745851
1097,-79.215486,43.744094
1098,-79.308088,43.673673
1099,-79.510766,43.777918
1100,-79.381593,43.734133
1102,-79.300444,43.825065
1103,-79.500376,43.738716
1104,-79.284966,43.869608
1105,-79.288871,43.884642
1106,-79.401995,43.782645
1107,-79.539739,43.76913
1108,-79.219558,43.807848
1109,-79.240113,43.813673
1110,-79.644832,43.708724
1111,-79.341773,43.815376
1112,-79.401728,43.686737
1114,-79.339921,43.687734
1115,-79.505949,43.634093
1116,-79.353681,43.734868
1117,-79.486857,43.668304
1118,-79.277741,43.841354
1119,-79.483462,43.668539
1120,-79.323473,43.683471
1121,-79.543364,43.75345
1122,-79.411854,43.641543
1123,-79.389207,43.77233
1124,-79.258784,43.735772
1125,-79.380383,43.671706
1126,-79.488314,43.752257
1127,-79.353136,43.661937
1128,-79.317086,43.676047
1129,-79.266658,43.751064
1130,-79.563427,43.674653
1131,-79.257757,43.707574
1132,-79.434957,43.718172
1133,-79.407548,43.665819
1134,-79.51757,43.630726
1135,-79.413853,43.773679
1137,-79.251159,43.77237
1138,-79.548765,43.72375
1139,-79.473978,43.690316
1141,-79.387412,43.664214
1142,-79.557601,43.720786
1143,-79.505942,43.736269
1144,-79.360337,43.729123
1147,-79.285797,43.723671
1148,-79.48933,43.696035
1149,-79.324724,43.712357
1150,-79.326261,43.78242
1151,-79.442947,43.735406
1152,-79.501268,43.74084
1153,-79.18052,43.806137
1154,-79.460272,43.726343
1738,-79.426497,43.653509
1740,-79.48627,43.635359
1741,-79.377521,43.648025
1742,-79.403671,43.724699
1743,-79.18295,43.788024
1744,-79.41525,43.722424
1745,-79.480157,43.683149
1746,-79.247559,43.823823
1747,-79.241521,43.774032
1748,-79.480129,43.66018
1749,-79.483034,43.765108
1750,-79.420306,43.668608
1752,-79.422228,43.643567
1753,-79.570449,43.662526
1755,-79.46845,43.665505
1757,-79.454512,43.771463
1758,-79.531666,43.703316
1759,-79.565505,43.738105
1760,-79.483057,43.680849
1761,-79.463577,43.67404
1762,-79.518034,43.759351
1763,-79.410605,43.790112
1764,-79.307333,43.823486
1765,-79.516166,43.706758
1766,-79.338016,43.691918
1768,-79.438826,43.687221
1769,-79.577739,43.670474
1770,-79.525282,43.648248
1771,-79.532544,43.715641
1772,-79.285543,43.710974
